№;Название;Поколение;Верх/низ;Электрический заряд;Спин;Масса (МэВ);Логарифм массы;Sigmoid массы;Частица/Античастица;Заряд;Допустимая погрешность (МэВ)
1;Верхний u-кварк;0.333333333;1;0.666666667;0.5;2.3;0.832909123;0.568966655;1;0.666666667;0.7
2;Нижний d-кварк;0.333333333;-1;-0.333333333;0.5;4.8;1.568615918;0.627819084;1;0.333333333;0.5
3;Очарованный c-кварк;0.666666667;1;0.666666667;0.5;1275;7.150701458;0.915565603;1;0.666666667;25
4;Странный s-кварк;0.666666667;-1;-0.333333333;0.5;95;4.553876892;0.820237731;1;0.333333333;5
5;Истинный t-кварк;1;1;0.666666667;0.5;174340;12.06876269;0.982414194;1;0.666666667;650
6;Прелестный b-кварк;1;-1;-0.333333333;0.5;4180;8.338066526;0.941549986;1;0.333333333;30
7;Верхний u-антикварк;0.333333333;1;-0.666666667;0.5;2.3;0.832909123;0.568966655;-1;0.666666667;0.7
8;Нижний d-антикварк;0.333333333;-1;0.333333333;0.5;4.8;1.568615918;0.627819084;-1;0.333333333;0.5
9;Очарованный c-антикварк;0.666666667;1;-0.666666667;0.5;1275;7.150701458;0.915565603;-1;0.666666667;25
10;Странный s-антикварк;0.666666667;-1;0.333333333;0.5;95;4.553876892;0.820237731;-1;0.333333333;5
11;Истинный t-антикварк;1;1;-0.666666667;0.5;174340;12.06876269;0.982414194;-1;0.666666667;650
12;Прелестный b-антикварк;1;-1;0.333333333;0.5;4180;8.338066526;0.941549986;-1;0.333333333;30
13;Электрон e-;0.333333333;1;-1;0.5;0.51099895;-0.671387744;0.444283373;1;1;2.65E-08
14;Электронное нейтрино ve;0.333333333;-1;0;0.5;0.0011;-6.119297919;0.115090564;1;0;0.0011
15;Мюон m-;0.666666667;1;-1;0.5;105.6583745;4.660211007;0.825404784;1;1;0.010219979
16;Мюонное нейтрино vm;0.666666667;-1;0;0.5;0.085;-1.771956842;0.356485205;1;0;0.085
17;Тау-лептон t-;1;1;-1;0.5;1776.82;7.482580529;0.92373376;1;1;0.25
18;Тау-нейтрино vt;1;-1;0;0.5;7.75;2.740840024;0.713738995;1;0;7.75
19;Позитрон e+;0.333333333;1;1;0.5;0.51099895;-0.671387744;0.444283373;-1;1;2.65E-08
20;Электронное антинейтрино ve;0.333333333;-1;0;0.5;0.0011;-6.119297919;0.115090564;-1;0;0.0011
21;Положительный мюон m+;0.666666667;1;1;0.5;105.6583745;4.660211007;0.825404784;-1;1;0.010219979
22;Мюонное антинейтрино vm;0.666666667;-1;0;0.5;0.085;-1.771956842;0.356485205;-1;0;0.085
23;Положительный тау-лептон t+;1;1;1;0.5;1776.82;7.482580529;0.92373376;-1;1;0.25
24;Тау-антинейтрино vt;1;-1;0;0.5;7.75;2.740840024;0.713738995;-1;0;7.75
25;Z-бозон;0;1;0;1;91187.6;11.4206742;0.978265737;0;0;2.1
26;W+ бозон;0;-1;1;1;80385;11.29458287;0.977353895;-1;1;15
27;W- бозон;0;-1;-1;1;80385;11.29458287;0.977353895;1;1;15
28;Бозон Хиггса H;0;0;0;0;125260;11.73814686;0.980405467;0;0;210
